Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
sandro tonali,it ITA,MF,Newcastle Utd,24,2000,29.2,4,2,4.4,2.2,35,12,1285,1535,83.71,51,32,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
santiago bueno,uy URU,DF,Wolves,25,1998,18.7,0,0,0.4,0.0,6,3,741,842,88.0,41,21,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
sasa lukic,rs SRB,MF,Fulham,27,1996,26.0,0,2,1.2,2.7,18,2,1100,1260,87.3,68,39,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
savio,br BRA,"FW,MF",Manchester City,20,2004,19.6,1,8,5.0,6.9,55,21,692,856,80.84,23,17,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
scott mctominay,sct SCO,MF,Manchester Utd,27,1996,0.2,0,0,0.1,0.0,1,0,10,10,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
seamus coleman,ie IRL,DF,Everton,35,1988,2.4,0,0,0.6,0.0,1,1,74,98,75.51,3,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0
sean longstaff,eng ENG,MF,Newcastle Utd,26,1997,8.9,0,0,0.6,0.2,6,1,295,349,84.53,27,16,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
sepp van den berg,nl NED,DF,Brentford,22,2001,28.7,0,0,2.0,0.8,20,6,1092,1278,85.45,39,24,52,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
sergio reguilon,es ESP,DF,Tottenham,27,1996,2.2,0,0,0.1,0.0,2,0,93,136,68.38,4,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
shumaira mheuka,eng ENG,MF,Chelsea,16,2007,0.0,0,0,0.1,0.0,1,1,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,16.0
simon adingra,ci CIV,"FW,MF",Brighton,22,2002,12.2,2,2,2.5,2.5,33,8,290,382,75.92,23,14,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
solly march,eng ENG,"FW,MF",Brighton,30,1994,1.9,0,0,0.1,0.3,2,0,60,95,63.16,6,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0
son heung-min,kr KOR,FW,Tottenham,32,1992,23.4,7,9,7.2,8.2,55,24,730,925,78.92,17,9,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0
stefan ortega,de GER,GK,Manchester City,31,1992,12.2,0,0,0.0,0.0,0,0,373,459,81.26,0,0,0,0,18.0,1.47,50.0,33.0,68.0,3.0,25.0,2.0,2.0,0.0,0.0,16.3,0.31,-0.7,-0.06,40.0,104.0,38.5,409.0,55.0,21.5,26.7,6.0,4.5,12.0,0.98,14.3,True,31.0
stephy mavididi,eng ENG,FW,Leicester City,26,1998,17.9,4,1,1.8,2.6,26,7,460,613,75.04,34,19,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
sven botman,nl NED,DF,Newcastle Utd,24,2000,4.6,0,0,0.5,0.5,5,2,220,246,89.43,12,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
taiwo awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,4.6,1,0,2.1,0.1,10,4,61,96,63.54,6,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
takehiro tomiyasu,jp JPN,DF,Arsenal,25,1998,0.1,0,0,0.2,0.0,1,0,3,4,75.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
tariq lamptey,gh GHA,DF,Brighton,23,2000,9.6,2,2,0.4,0.8,6,2,335,413,81.11,17,11,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
taylor harwood-bellis,eng ENG,DF,Southampton,22,2002,31.4,1,0,1.8,1.0,20,8,1892,2164,87.43,28,20,65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
thiago,br BRA,"FW,MF",Brentford,23,2001,1.9,0,0,0.1,0.1,2,0,40,56,71.43,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
thomas partey,gh GHA,"MF,DF",Arsenal,31,1993,31.1,4,2,2.3,2.1,26,9,1678,1920,87.4,89,53,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
tim iroegbunam,eng ENG,MF,Everton,21,2003,6.4,0,1,0.2,0.2,5,0,115,158,72.78,29,14,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
timo werner,de GER,"FW,MF",Tottenham,28,1996,5.7,0,3,1.0,2.5,8,3,158,236,66.95,6,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
timothy castagne,be BEL,DF,Fulham,28,1995,18.3,0,1,0.4,1.2,8,3,780,953,81.85,46,29,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
toby collyer,eng ENG,MF,Manchester Utd,20,2004,2.0,0,0,0.2,0.3,1,0,76,92,82.61,12,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
tom cairney,sct SCO,MF,Fulham,33,1991,7.0,2,0,0.8,1.1,11,4,569,627,90.75,13,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
tom king,wls WAL,GK,Wolves,29,1995,0.0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,True,29.0
tomas soucek,cz CZE,MF,West Ham,29,1995,28.5,9,1,6.7,1.0,55,17,715,969,73.79,46,21,41,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0
tommy doyle,eng ENG,MF,Wolves,22,2001,5.4,0,1,0.6,0.5,9,2,321,392,81.89,11,6,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
tosin adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,1,1,0.9,0.2,13,2,1079,1184,91.13,17,13,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
toti gomes,pt POR,DF,Wolves,25,1999,29.0,0,1,0.7,0.9,7,2,1473,1714,85.94,61,43,29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
trent alexander-arnold,eng ENG,DF,Liverpool,25,1998,26.3,3,6,1.9,7.3,45,8,1448,1971,73.47,72,50,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
trevoh chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,3,0,1.2,0.4,11,4,349,442,78.96,20,16,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
tyler adams,us USA,MF,Bournemouth,25,1999,21.8,0,3,1.6,1.0,9,2,902,1069,84.38,83,50,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
tyler dibling,eng ENG,"FW,MF",Southampton,18,2006,20.8,2,0,2.5,1.5,28,9,504,620,81.29,34,20,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
tyler fredricson,eng ENG,DF,Manchester Utd,19,2005,1.8,0,0,0.0,0.0,0,0,110,122,90.16,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
tyrell malacia,nl NED,DF,Manchester Utd,24,1999,1.1,0,0,0.0,0.0,0,0,49,55,89.09,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
tyrick mitchell,eng ENG,DF,Crystal Palace,24,1999,34.4,0,5,1.3,6.4,12,3,976,1355,72.03,91,55,68,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
tyrique george,eng ENG,FW,Chelsea,18,2006,2.0,1,1,0.2,0.7,3,1,43,54,79.63,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
tyrone mings,eng ENG,DF,Aston Villa,31,1993,12.4,0,0,0.8,0.2,9,1,596,676,88.17,7,6,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
