Player,MarketValueEUR,team_name,team_id
Benjamín Rojas,,Club Deportivo Riestra,19775
Mauro Ortiz,,Club Deportivo Riestra,19775
José Méndez,,Club Deportivo Riestra,19775
Mario Sanabria,,Club Deportivo Riestra,19775
Alexander Díaz,,Club Deportivo Riestra,19775
Jonathan Herrera,,Club Deportivo Riestra,19775
Gustavo Fernández,,Club Deportivo Riestra,19775
Nicolás Benegas,,Club Deportivo Riestra,19775
Antony Alonso,,Club Deportivo Riestra,19775
Maximiliano Brito,,Club Deportivo Riestra,19775
Samuel Portillo,,Club Deportivo Riestra,19775
Ramón González,,Club Deportivo Riestra,19775
Matteo Cucinotta,,Club Deportivo Riestra,19775
Juan Cruz Martins,,Club Deportivo Riestra,19775
Iván Buhajeruk,,Club Deportivo Riestra,19775
