player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
joaquin burgos|2004,joaquin burgos,2004,ar ARG,,,,
joaquin garcia|2001,joaquin garcia,2001,ar ARG,,,,
joaquin gho|2003,joaquin gho,2003,ar ARG,,,,
joaquin laso|1990,joaquin laso,1990,ar ARG,,,,
joaquin mosqueira|2004,joaquin mosqueira,2004,ar ARG,,,,
joaquin pereyra|1998,joaquin pereyra,1998,ar ARG,424043.0,4500000.0,,100.0
joaquin ruiz|2006,joaquin ruiz,2006,ar ARG,,,,
joel sonora|1996,joel sonora,1996,us USA,346644.0,700000.0,,100.0
johan carbonero|1999,johan carbonero,1999,co COL,,,,
jonas acevedo|1997,jonas acevedo,1997,ar ARG,,,,
jonatan goitia|1994,jonatan goitia,1994,ar ARG,,,,
jonathan bay|1993,jonathan bay,1993,ar ARG,,,,
jonathan david gomez|1989,jonathan david gomez,1989,ar ARG,533738.0,45000000.0,,95.0
jonathan de irastorza|2005,jonathan de irastorza,2005,ar ARG,,,,
jonathan galvan|1992,jonathan galvan,1992,ar ARG,,,,
jonathan goya|1989,jonathan goya,1989,ar ARG,131257.0,500000.0,,92.3076923076923
jonathan herrera|1991,jonathan herrera,1991,ar ARG,,,,
jonathan torres|1996,jonathan torres,1996,ar ARG,,,,
jorge broun|1986,jorge broun,1986,ar ARG,,,,
jorge figal|1994,jorge figal,1994,ar ARG,,,,
jorge sanguina|1999,jorge sanguina,1999,py PAR,,,,
jorman campuzano|1996,jorman campuzano,1996,co COL,459467.0,1500000.0,,100.0
jose dominguez|1996,jose dominguez,1996,py PAR,,,,
jose florentin|1996,jose florentin,1996,py PAR,,,,
jose gomez|2000,jose gomez,2000,ar ARG,256178.0,25000000.0,,94.73684210526316
jose herrera|2003,jose herrera,2003,ar ARG,,,,
jose mauri|1996,jose mauri,1996,it ITA,240958.0,375000.0,,100.0
jose mendez|1993,jose mendez,1993,ar ARG,,,,
jose sosa|1985,jose sosa,1985,ar ARG,20137.0,200000.0,,100.0
josue reinatti|2003,josue reinatti,2003,ar ARG,,,,
juan alvarez|1996,juan alvarez,1996,ar ARG,457537.0,75000.0,,100.0
juan andrada|1995,juan andrada,1995,ar ARG,,,,
juan barinaga|2000,juan barinaga,2000,ar ARG,,,,
juan bautista cejas|1998,juan bautista cejas,1998,ar ARG,,,,
juan bisanz|2001,juan bisanz,2001,ar ARG,,,,
juan caceres|2000,juan caceres,2000,py PAR,756494.0,2500000.0,,95.0
juan camilo portilla|1998,juan camilo portilla,1998,co COL,,,,
juan cardozo|2004,juan cardozo,2004,py PAR,,,,
juan cavallaro|1994,juan cavallaro,1994,ar ARG,,,,
juan cortazzo|2005,juan cortazzo,2005,ar ARG,,,,
juan cozzani|1998,juan cozzani,1998,ar ARG,,,,
juan cruz komar|1996,juan cruz komar,1996,ar ARG,,,,
juan espinola|1994,juan espinola,1994,py PAR,,,,
juan esquivel|2000,juan esquivel,2000,ar ARG,,,,
juan fedorco|2000,juan fedorco,2000,ar ARG,,,,
juan franco arrellaga|1992,juan franco arrellaga,1992,py PAR,,,,
juan gimenez|2006,juan gimenez,2006,ar ARG,,,,
juan guasone|2001,juan guasone,2001,it ITA,,,,
juan hernandez|1997,juan hernandez,1997,uy URU,349873.0,400000.0,,100.0
juan ignacio mendez|1997,juan ignacio mendez,1997,ar ARG,,,,
juan ignacio ramirez|1997,juan ignacio ramirez,1997,uy URU,402079.0,1500000.0,,95.0
juan infante|1996,juan infante,1996,ar ARG,,,,
juan iribarren|2003,juan iribarren,2003,ar ARG,,,,
juan luduena|2003,juan luduena,2003,ar ARG,,,,
juan manuel elordi|1994,juan manuel elordi,1994,ar ARG,,,,
juan manuel garcia|1992,juan manuel garcia,1992,ar ARG,457244.0,700000.0,,100.0
juan manuel insaurralde|1984,juan manuel insaurralde,1984,ar ARG,65072.0,300000.0,,100.0
juan meli|2000,juan meli,2000,ar ARG,,,,
juan miritello|1999,juan miritello,1999,ar ARG,728200.0,1000000.0,,100.0
juan moran|2006,juan moran,2006,ar ARG,,,,
juan nardoni|2002,juan nardoni,2002,ar ARG,,,,
juan pablo goicochea|2005,juan pablo goicochea,2005,pe PER,,,,
juan perez|2004,juan perez,2004,co COL,298613.0,600000.0,,100.0
juan pignani|2001,juan pignani,2001,ar ARG,,,,
juan pintado|1994,juan pintado,1994,uy URU,,,,
juan portillo|2000,juan portillo,2000,ar ARG,,,,
juan quintana|2000,juan quintana,2000,uy URU,,,,
juan quintero|1993,juan quintero,1993,co COL,,,,
juan rodriguez|1994,juan rodriguez,1994,ar ARG,15983.0,300000.0,,100.0
juan saborido|1998,juan saborido,1998,ar ARG,,,,
juan velazquez|2004,juan velazquez,2004,ar ARG,,,,
julian ceballos|2004,julian ceballos,2004,ar ARG,,,,
julian eseiza|2002,julian eseiza,2002,ar ARG,,,,
julian fernandez|1995,julian fernandez,1995,ar ARG,,,,
julian lopez|2000,julian lopez,2000,ar ARG,,,,
julio soler|2005,julio soler,2005,ar ARG,1009658.0,8000000.0,,100.0
justo giani|1999,justo giani,1999,ar ARG,,,,
kevin coronel|2004,kevin coronel,2004,ar ARG,,,,
kevin facundo gutierrez|1997,kevin facundo gutierrez,1997,ar ARG,,,,
kevin lomonaco|2002,kevin lomonaco,2002,ar ARG,,,,
kevin lopez|2001,kevin lopez,2001,ar ARG,,,,
kevin mantilla|2003,kevin mantilla,2003,co COL,,,,
kevin ortiz|2000,kevin ortiz,2000,ar ARG,,,,
kevin silva|2003,kevin silva,2003,ar ARG,351503.0,100000.0,,100.0
kevin vazquez|2001,kevin vazquez,2001,ar ARG,221315.0,800000.0,,100.0
kevin zenon|2001,kevin zenon,2001,ar ARG,,,,
laurtaro giaccone|2001,laurtaro giaccone,2001,ar ARG,,,,
lautaro acosta|1988,lautaro acosta,1988,ar ARG,,,,
lautaro blanco|1999,lautaro blanco,1999,ar ARG,831161.0,2000000.0,,100.0
lautaro bursich|2002,lautaro bursich,2002,ar ARG,,,,
lautaro cardozo|2002,lautaro cardozo,2002,ar ARG,,,,
lautaro carrera|2003,lautaro carrera,2003,ar ARG,,,,
lautaro chavez|2001,lautaro chavez,2001,ar ARG,,,,
lautaro di lollo|2004,lautaro di lollo,2004,ar ARG,,,,
lautaro garzon|2003,lautaro garzon,2003,ar ARG,,,,
lautaro godoy|2003,lautaro godoy,2003,py PAR,,,,
lautaro gomez|2003,lautaro gomez,2003,ar ARG,,,,
lautaro millan|2005,lautaro millan,2005,cl CHI,,,,
lautaro morales|1999,lautaro morales,1999,ar ARG,,,,
lautaro rios|2000,lautaro rios,2000,ar ARG,,,,
lautaro rivero|2003,lautaro rivero,2003,ar ARG,,,,
lautaro vargas|2005,lautaro vargas,2005,ar ARG,,,,
lautaro villegas|2003,lautaro villegas,2003,ar ARG,,,,
leandro brey|2002,leandro brey,2002,ar ARG,,,,
leandro contin|1995,leandro contin,1995,ar ARG,,,,
leandro diaz|1992,leandro diaz,1992,ar ARG,,,,
leandro garate|1993,leandro garate,1993,ar ARG,,,,
leandro gonzalez pirez|1992,leandro gonzalez pirez,1992,ar ARG,113130.0,1200000.0,,100.0
leandro mamut|2003,leandro mamut,2003,ar ARG,,,,
leandro olima|,leandro olima,0,0,,,,
lenny lobato|2001,lenny lobato,2001,br BRA,,,,
leonardo heredia|1996,leonardo heredia,1996,ar ARG,,,,
leonardo jara|1991,leonardo jara,1991,ar ARG,,,,
leonardo landriel|1996,leonardo landriel,1996,ar ARG,,,,
leonardo marchi|1996,leonardo marchi,1996,ar ARG,,,,
leonardo morales|1991,leonardo morales,1991,ar ARG,,,,
leonardo sigali|1987,leonardo sigali,1987,ar ARG,,,,
leonel cardozo|2004,leonel cardozo,2004,ar ARG,,,,
leonel miranda|1994,leonel miranda,1994,ar ARG,,,,
leonel picco|1999,leonel picco,1999,ar ARG,,,,
leonel roldan|2004,leonel roldan,2004,ar ARG,,,,
leonel vangioni|1987,leonel vangioni,1987,ar ARG,55895.0,100000.0,,100.0
lionel verde|2004,lionel verde,2004,ar ARG,,,,
lisandro lopez|1983,lisandro lopez,1983,ar ARG,27661.0,200000.0,,100.0
lisandro montenegro|2003,lisandro montenegro,2003,ar ARG,,,,
lisandro pinero|2007,lisandro pinero,2007,ar ARG,,,,
lorenzo scipioni|2004,lorenzo scipioni,2004,ar ARG,,,,
luca langoni|2002,luca langoni,2002,ar ARG,,,,
luca martinez|2001,luca martinez,2001,mx MEX,,,,
luca raffin|2006,luca raffin,2006,py PAR,,,,
luca regiardo|2006,luca regiardo,2006,ar ARG,,,,
lucas abascia|1995,lucas abascia,1995,ar ARG,,,,
lucas acosta|1995,lucas acosta,1995,ar ARG,,,,
lucas ambrogio|1999,lucas ambrogio,1999,ar ARG,,,,
lucas arce|1997,lucas arce,1997,ar ARG,,,,
lucas banos|2005,lucas banos,2005,ar ARG,,,,
lucas bernabeu|2004,lucas bernabeu,2004,ar ARG,,,,
lucas besozzi|2003,lucas besozzi,2003,ar ARG,,,,
lucas brochero|1999,lucas brochero,1999,ar ARG,,,,
lucas bustos|2005,lucas bustos,2005,ar ARG,,,,
lucas carrizo|1997,lucas carrizo,1997,ar ARG,,,,
lucas castro|1989,lucas castro,1989,ar ARG,105892.0,350000.0,,100.0
lucas faggioli|1997,lucas faggioli,1997,ar ARG,,,,
lucas ferreira|2000,lucas ferreira,2000,uy URU,,,,
lucas gamba|1987,lucas gamba,1987,ar ARG,,,,
lucas gomez|2004,lucas gomez,2004,ar ARG,,,,
lucas gonzalez|2000,lucas gonzalez,2000,ar ARG,,,,
lucas hoyos|1989,lucas hoyos,1989,ar ARG,,,,
lucas irusta|2003,lucas irusta,2003,ar ARG,,,,
lucas janson|1994,lucas janson,1994,ar ARG,,,,
lucas menossi|1992,lucas menossi,1992,ar ARG,,,,
lucas mihovilcevich|2004,lucas mihovilcevich,2004,ar ARG,,,,
lucas ocampo|1997,lucas ocampo,1997,uy URU,189441.0,9000000.0,,96.0
lucas rodriguez|1993,lucas rodriguez,1993,ar ARG,,,,
lucas souto|1998,lucas souto,1998,ar ARG,,,,
lucas suarez|1995,lucas suarez,1995,ar ARG,,,,
lucas varaldo|2002,lucas varaldo,2002,ar ARG,,,,
luciano abecasis|1990,luciano abecasis,1990,ar ARG,,,,
luciano boggio|1999,luciano boggio,1999,it ITA,,,,
luciano cingolani|2001,luciano cingolani,2001,ar ARG,,,,
luciano ferreyra|2002,luciano ferreyra,2002,ar ARG,,,,
luciano gimenez|2000,luciano gimenez,2000,ar ARG,,,,
luciano gomez|1996,luciano gomez,1996,ar ARG,,,,
luciano gondou|2001,luciano gondou,2001,ar ARG,851111.0,12000000.0,,100.0
luciano lollo|1987,luciano lollo,1987,ar ARG,,,,
luciano ramon herrera|1996,luciano ramon herrera,1996,ar ARG,,,,
luciano recalde|1995,luciano recalde,1995,ar ARG,,,,
luciano vietto|1993,luciano vietto,1993,ar ARG,214316.0,2300000.0,,100.0
luis advincula|1990,luis advincula,1990,pe PER,103890.0,1200000.0,,100.0
luis angulo|2004,luis angulo,2004,co COL,,,,
luis ingolotti|2000,luis ingolotti,2000,ar ARG,,,,
luis miguel rodriguez|1985,luis miguel rodriguez,1985,ar ARG,634427.0,2000000.0,,95.0
luis sanchez|2000,luis sanchez,2000,co COL,207922.0,600000.0,,92.3076923076923
luis sequeira|2003,luis sequeira,2003,ar ARG,,,,
maher carrizo|2006,maher carrizo,2006,ar ARG,,,,
malcom braida|1997,malcom braida,1997,ar ARG,,,,
manuel agustin duarte|2001,manuel agustin duarte,2001,ar ARG,,,,
manuel garcia|1999,manuel garcia,1999,ar ARG,457244.0,700000.0,,95.0
manuel guillen|2001,manuel guillen,2001,ar ARG,,,,
manuel lanzini|1993,manuel lanzini,1993,ar ARG,135853.0,5000000.0,,100.0
manuel monaco|2002,manuel monaco,2002,ar ARG,,,,
manuel palavecino|2003,manuel palavecino,2003,ar ARG,,,,
manuel panaro miramon|2002,manuel panaro miramon,2002,ar ARG,,,,
manuel roffo|2000,manuel roffo,2000,ar ARG,,,,
manuel tucker|2004,manuel tucker,2004,ar ARG,,,,
marcelino moreno|1994,marcelino moreno,1994,ar ARG,,,,
marcelo barovero|1984,marcelo barovero,1984,ar ARG,,,,
marcelo estigarribia|1995,marcelo estigarribia,1995,ar ARG,76329.0,50000.0,,100.0
marcelo mino|1997,marcelo mino,1997,ar ARG,,,,
marcelo perez|2001,marcelo perez,2001,py PAR,,,,
marcelo saracchi|1998,marcelo saracchi,1998,uy URU,373916.0,1500000.0,,100.0
marco di cesare|2002,marco di cesare,2002,ar ARG,,,,
marco iacobellis|2000,marco iacobellis,2000,ar ARG,,,,
marco pellegrino|2002,marco pellegrino,2002,ar ARG,776303.0,3500000.0,,100.0
marco ruben|1986,marco ruben,1986,ar ARG,30825.0,500000.0,,100.0
marcos acuna|1991,marcos acuna,1991,ar ARG,60410.0,4000000.0,,100.0
marcos echeverria|2003,marcos echeverria,2003,ar ARG,,,,
marcos ignacio ledesma|1996,marcos ignacio ledesma,1996,ar ARG,,,,
marcos montiel|1995,marcos montiel,1995,uy URU,,,,
marcos portillo|2000,marcos portillo,2000,ar ARG,,,,
marcos rojo|1990,marcos rojo,1990,ar ARG,93176.0,2200000.0,,100.0
mariano gerez|2006,mariano gerez,2006,ar ARG,,,,
mariano santiago|2001,mariano santiago,2001,ar ARG,,,,
mariano troilo|2003,mariano troilo,2003,ar ARG,,,,
mario sanabria|2002,mario sanabria,2002,ar ARG,,,,
martin barrios|1999,martin barrios,1999,uy URU,,,,
martin fernandez|2001,martin fernandez,2001,uy URU,,,,
martin garay|1999,martin garay,1999,ar ARG,,,,
martin lazarte|2005,martin lazarte,2005,ar ARG,,,,
martin luciano|2003,martin luciano,2003,ar ARG,,,,
martin ortega|1999,martin ortega,1999,ar ARG,,,,
martin pino|1998,martin pino,1998,ar ARG,,,,
mateo bajamich|1999,mateo bajamich,1999,ar ARG,,,,
mateo clemente|2002,mateo clemente,2002,ar ARG,,,,
mateo coronel|1998,mateo coronel,1998,ar ARG,,,,
mateo del blanco|2003,mateo del blanco,2003,ar ARG,,,,
mateo diaz chaves|2003,mateo diaz chaves,2003,ar ARG,,,,
mateo mendia|2004,mateo mendia,2004,ar ARG,,,,
mateo mendoza|2004,mateo mendoza,2004,ar ARG,,,,
mateo pellegrino|2001,mateo pellegrino,2001,ar ARG,856530.0,3500000.0,,100.0
mateo perez|2000,mateo perez,2000,ar ARG,,,,
mateo sanabria|2004,mateo sanabria,2004,ar ARG,,,,
mateo silvetti|2006,mateo silvetti,2006,ar ARG,,,,
mathias de ritis|2003,mathias de ritis,2003,uy URU,,,,
matias abaldo|2004,matias abaldo,2004,uy URU,,,,
matias acevedo|2008,matias acevedo,2008,ar ARG,,,,
matias catalan|1992,matias catalan,1992,cl CHI,,,,
matias contrera|2005,matias contrera,2005,ar ARG,,,,
matias de los santos|1992,matias de los santos,1992,uy URU,,,,
matias diaz|2004,matias diaz,2004,ar ARG,,,,
matias espindola|2003,matias espindola,2003,ar ARG,,,,
matias esquivel|1999,matias esquivel,1999,ar ARG,,,,
matias galarza|2002,matias galarza,2002,py PAR,909737.0,7000000.0,,100.0
matias gimenez|1999,matias gimenez,1999,ar ARG,,,,
matias godoy|2002,matias godoy,2002,ar ARG,,,,
matias gomez|2003,matias gomez,2003,ar ARG,,,,
matias gonzalez|2002,matias gonzalez,2002,ar ARG,,,,
matias kranevitter|1993,matias kranevitter,1993,ar ARG,240900.0,2000000.0,,100.0
matias mansilla|1996,matias mansilla,1996,ar ARG,,,,
matias marin|1999,matias marin,1999,cl CHI,,,,
matias miranda|2000,matias miranda,2000,ar ARG,,,,
matias moreno|2003,matias moreno,2003,ar ARG,1144700.0,4000000.0,,100.0
matias orihuela|1992,matias orihuela,1992,ar ARG,338170.0,450000.0,,100.0
matias pellegrini|2000,matias pellegrini,2000,ar ARG,,,,
matias perello|2001,matias perello,2001,ar ARG,,,,
matias ramirez|1999,matias ramirez,1999,ar ARG,,,,
matias reali|1997,matias reali,1997,ar ARG,,,,
matias rosales|2005,matias rosales,2005,ar ARG,,,,
matias ruiz diaz|1996,matias ruiz diaz,1996,ar ARG,,,,
matias sosa|2001,matias sosa,2001,ar ARG,,,,
matias suarez|1988,matias suarez,1988,ar ARG,66660.0,300000.0,,100.0
matko miljevic|2001,matko miljevic,2001,us USA,,,,
mauricio asenjo|1994,mauricio asenjo,1994,ar ARG,,,,
mauricio cardillo|2003,mauricio cardillo,2003,ar ARG,,,,
mauricio isla|1988,mauricio isla,1988,cl CHI,43722.0,425000.0,,100.0
mauricio martinez|1993,mauricio martinez,1993,ar ARG,,,,
mauricio roldan|2005,mauricio roldan,2005,ar ARG,,,,
mauro luna diale|1999,mauro luna diale,1999,ar ARG,653266.0,1800000.0,,100.0
mauro maidana|1990,mauro maidana,1990,ar ARG,,,,
mauro mendez|1999,mauro mendez,1999,uy URU,,,,
mauro pitton|1994,mauro pitton,1994,ar ARG,,,,
maxi gonzalez|2004,maxi gonzalez,2004,ar ARG,,,,
maximiliano brito|1991,maximiliano brito,1991,uy URU,,,,
maximiliano lovera|1999,maximiliano lovera,1999,ar ARG,441422.0,600000.0,,100.0
maximiliano meza|1992,maximiliano meza,1992,ar ARG,,,,
maximiliano puig|2000,maximiliano puig,2000,ar ARG,,,,
maximiliano rodriguez|1988,maximiliano rodriguez,1988,ar ARG,,,,
maximiliano romero|1999,maximiliano romero,1999,ar ARG,365758.0,2700000.0,,100.0
maximiliano salas|1997,maximiliano salas,1997,ar ARG,,,,
maximiliano urruti|1991,maximiliano urruti,1991,ar ARG,,,,
maximiliano zalazar|2001,maximiliano zalazar,2001,ar ARG,,,,
maximo oses|2005,maximo oses,2005,ar ARG,,,,
michael santos|1993,michael santos,1993,uy URU,178107.0,2700000.0,,100.0
miguel angel torren|1988,miguel angel torren,1988,ar ARG,,,,
miguel barbieri|1993,miguel barbieri,1993,ar ARG,,,,
miguel borja|1993,miguel borja,1993,co COL,211397.0,3800000.0,,100.0
miguel brizuela|1997,miguel brizuela,1997,ar ARG,,,,
miguel merentiel|1996,miguel merentiel,1996,uy URU,,,,
miguel navarro|1999,miguel navarro,1999,ve VEN,,,,
milton casco|1988,milton casco,1988,ar ARG,,,,
milton celiz|1992,milton celiz,1992,ar ARG,,,,
milton delgado|2005,milton delgado,2005,ar ARG,,,,
milton gimenez|1996,milton gimenez,1996,ar ARG,,,,
misael jaime|2004,misael jaime,2004,ar ARG,,,,
moises brandan|2000,moises brandan,2000,ar ARG,,,,
nahuel banegas|1996,nahuel banegas,1996,ar ARG,,,,
nahuel barrios|1998,nahuel barrios,1998,ar ARG,,,,
nahuel bustos|1998,nahuel bustos,1998,ar ARG,,,,
nahuel gallardo|1998,nahuel gallardo,1998,ar ARG,,,,
nahuel genez|2003,nahuel genez,2003,ar ARG,,,,
nahuel losada|1993,nahuel losada,1993,ar ARG,,,,
nahuel manganelli|2001,nahuel manganelli,2001,ar ARG,,,,
nazareno colombo|1999,nazareno colombo,1999,ar ARG,,,,
nehuen benedetti|2005,nehuen benedetti,2005,ar ARG,,,,
nehuen paz|1993,nehuen paz,1993,ar ARG,284724.0,200000.0,,100.0
nelson insfran|1995,nelson insfran,1995,ar ARG,,,,
nery dominguez|1990,nery dominguez,1990,ar ARG,,,,
nestor breitenbruch|1995,nestor breitenbruch,1995,ar ARG,,,,
nicolas benegas|1996,nicolas benegas,1996,ar ARG,,,,
nicolas blandi|1990,nicolas blandi,1990,ar ARG,153022.0,250000.0,,100.0
nicolas capraro|1998,nicolas capraro,1998,ar ARG,,,,
nicolas caro|1995,nicolas caro,1995,ar ARG,565899.0,3000000.0,,92.3076923076923
nicolas castro|1990,nicolas castro,1990,ar ARG,565899.0,3000000.0,,100.0
nicolas colazo|1990,nicolas colazo,1990,ar ARG,116277.0,200000.0,,100.0
nicolas cordero|1999,nicolas cordero,1999,ar ARG,,,,
nicolas demartini|1999,nicolas demartini,1999,ar ARG,,,,
nicolas dematei|1987,nicolas dematei,1987,ar ARG,,,,
nicolas dubersarsky|2004,nicolas dubersarsky,2004,ar ARG,,,,
nicolas fernandez|1996,nicolas fernandez,1996,ar ARG,739315.0,2000000.0,,95.0
nicolas fonseca|1998,nicolas fonseca,1998,uy URU,,,,
nicolas gaitan|1988,nicolas gaitan,1988,ar ARG,,,,
nicolas garayalde|1999,nicolas garayalde,1999,ar ARG,,,,
nicolas hernandez|1998,nicolas hernandez,1998,co COL,,,,
nicolas meriano|2000,nicolas meriano,2000,ar ARG,,,,
nicolas morgantini|1994,nicolas morgantini,1994,ar ARG,,,,
nicolas oroz|1994,nicolas oroz,1994,ar ARG,332250.0,750000.0,,100.0
nicolas orsini|1994,nicolas orsini,1994,ar ARG,,,,
nicolas palavecino|2003,nicolas palavecino,2003,ar ARG,,,,
nicolas paz|2002,nicolas paz,2002,ar ARG,,,,
nicolas quagliata|1999,nicolas quagliata,1999,uy URU,733083.0,1500000.0,,100.0
nicolas romero|2003,nicolas romero,2003,ar ARG,,,,
nicolas sanchez|2004,nicolas sanchez,2004,ar ARG,,,,
nicolas sansotre|1993,nicolas sansotre,1993,ar ARG,,,,
nicolas servetto|1996,nicolas servetto,1996,ar ARG,,,,
nicolas sumavil|1999,nicolas sumavil,1999,ar ARG,,,,
nicolas tolosa|2001,nicolas tolosa,2001,ar ARG,,,,
nicolas tripichio|1996,nicolas tripichio,1996,ar ARG,,,,
nicolas vallejo|2004,nicolas vallejo,2004,ar ARG,,,,
norberto briasco|1996,norberto briasco,1996,am ARM,,,,
octavio ontivero|2006,octavio ontivero,2006,ar ARG,,,,
orlando gill|2000,orlando gill,2000,py PAR,,,,
oscar arias|2005,oscar arias,2005,ar ARG,,,,
oscar garrido|1997,oscar garrido,1997,ar ARG,,,,
oscar salomon|1999,oscar salomon,1999,ar ARG,,,,
pablo altamirano|2005,pablo altamirano,2005,ar ARG,,,,
pablo chavarria|1988,pablo chavarria,1988,ar ARG,118732.0,300000.0,,100.0
pablo de blasis|1988,pablo de blasis,1988,ar ARG,75446.0,350000.0,,100.0
pablo monje|1997,pablo monje,1997,ar ARG,,,,
pablo piatti|1989,pablo piatti,1989,ar ARG,56067.0,400000.0,,100.0
pablo siles|1997,pablo siles,1997,uy URU,,,,
pablo solari|2001,pablo solari,2001,ar ARG,756991.0,8000000.0,,100.0
patricio pernicone|2001,patricio pernicone,2001,ar ARG,,,,
patricio tanda|2002,patricio tanda,2002,ar ARG,837974.0,150000.0,,100.0
paulo diaz|1994,paulo diaz,1994,cl CHI,,,,
pedro ramirez|2000,pedro ramirez,2000,ar ARG,,,,
pedro velurtas|2001,pedro velurtas,2001,ar ARG,,,,
pier barrios|1990,pier barrios,1990,ar ARG,,,,
rafael barrios|1993,rafael barrios,1993,ar ARG,,,,
rafael ferrario|2000,rafael ferrario,2000,ar ARG,,,,
rafael marcelo delgado|1990,rafael marcelo delgado,1990,ar ARG,,,,
rafael profini|2003,rafael profini,2003,ar ARG,,,,
ramiro carrera|1993,ramiro carrera,1993,ar ARG,,,,
ramiro degregorio|2003,ramiro degregorio,2003,ar ARG,,,,
ramiro di luciano|2004,ramiro di luciano,2004,ar ARG,,,,
ramiro funes mori|1991,ramiro funes mori,1991,ar ARG,11111.0,1000000.0,,100.0
ramiro hernandes|2004,ramiro hernandes,2004,ar ARG,,,,
ramiro macagno|1997,ramiro macagno,1997,ar ARG,401913.0,1200000.0,,100.0
ramiro ruiz|2000,ramiro ruiz,2000,ar ARG,,,,
ramon abila|1989,ramon abila,1989,ar ARG,,,,
ramon arias|1992,ramon arias,1992,uy URU,131095.0,500000.0,,100.0
ramon cansinos|2002,ramon cansinos,2002,ar ARG,,,,
ramon sosa|1999,ramon sosa,1999,py PAR,745191.0,13000000.0,,100.0
randall rodriguez|2003,randall rodriguez,2003,uy URU,,,,
raul loaiza|1994,raul loaiza,1994,co COL,,,,
renzo tesuri|1996,renzo tesuri,1996,ar ARG,,,,
roberto nicolas fernandez|1998,roberto nicolas fernandez,1998,uy URU,57800.0,100000.0,,95.0
roberto ramirez|1996,roberto ramirez,1996,ar ARG,,,,
rodrigo aliendro|1991,rodrigo aliendro,1991,ar ARG,,,,
rodrigo atencio|2002,rodrigo atencio,2002,ar ARG,,,,
rodrigo bogarin|1997,rodrigo bogarin,1997,py PAR,,,,
rodrigo cabral|2000,rodrigo cabral,2000,ar ARG,,,,
rodrigo castillo|1999,rodrigo castillo,1999,ar ARG,,,,
rodrigo cavallera|2000,rodrigo cavallera,2000,ar ARG,,,,
rodrigo echeverria|1995,rodrigo echeverria,1995,cl CHI,,,,
rodrigo fernandez|1996,rodrigo fernandez,1996,uy URU,489212.0,450000.0,,94.11764705882352
rodrigo gallo|2000,rodrigo gallo,2000,ar ARG,75118.0,50000.0,,96.0
rodrigo herrera|2000,rodrigo herrera,2000,ar ARG,,,,
rodrigo inaki melo|1995,rodrigo inaki melo,1995,ar ARG,,,,
rodrigo insua|1997,rodrigo insua,1997,ar ARG,,,,
rodrigo marquez|2002,rodrigo marquez,2002,ar ARG,,,,
rodrigo perez|1996,rodrigo perez,1996,uy URU,,,,
rodrigo pineiro|1999,rodrigo pineiro,1999,uy URU,549038.0,1500000.0,,96.7741935483871
rodrigo rey|1991,rodrigo rey,1991,ar ARG,166591.0,1800000.0,,100.0
rodrigo saravia|2000,rodrigo saravia,2000,uy URU,750753.0,2000000.0,,100.0
rodrigo sayavedra|1995,rodrigo sayavedra,1995,ar ARG,,,,
rodrigo villagra|2001,rodrigo villagra,2001,ar ARG,657220.0,5500000.0,,100.0
roger martinez|1994,roger martinez,1994,co COL,285771.0,1500000.0,,100.0
roman gomez|2004,roman gomez,2004,ar ARG,,,,
roman vega|2004,roman vega,2004,ar ARG,,,,
ronaldo martinez|1996,ronaldo martinez,1996,py PAR,,,,
ruben botta|1990,ruben botta,1990,ar ARG,88542.0,900000.0,,100.0
ruben martinez|2004,ruben martinez,2004,ar ARG,8184.0,200000.0,,100.0
salomon rodriguez|2000,salomon rodriguez,2000,uy URU,,,,
samuel beltran|2004,samuel beltran,2004,ar ARG,,,,
santi ramos mingo|2001,santi ramos mingo,2001,ar ARG,,,,
santiago arzamendia|1998,santiago arzamendia,1998,py PAR,520947.0,1200000.0,,100.0
santiago ascacibar|1997,santiago ascacibar,1997,ar ARG,423436.0,5500000.0,,100.0
santiago caseres|1997,santiago caseres,1997,ar ARG,466298.0,2000000.0,,100.0
santiago coronel|2000,santiago coronel,2000,ar ARG,,,,
santiago dalmasso|2004,santiago dalmasso,2004,ar ARG,,,,
santiago esquivel|2004,santiago esquivel,2004,ar ARG,,,,
santiago flores|2001,santiago flores,2001,ar ARG,,,,
santiago godoy|2001,santiago godoy,2001,ar ARG,,,,
santiago gonzalez|2003,santiago gonzalez,2003,ar ARG,,,,
santiago hidalgo|2005,santiago hidalgo,2005,ar ARG,,,,
santiago laquidain|2001,santiago laquidain,2001,ar ARG,,,,
santiago lencina|2005,santiago lencina,2005,ar ARG,,,,
santiago longo|1998,santiago longo,1998,ar ARG,,,,
santiago lopez|2006,santiago lopez,2006,ar ARG,,,,
santiago martinez|2004,santiago martinez,2004,ar ARG,,,,
santiago montiel|2000,santiago montiel,2000,ar ARG,,,,
santiago morales|,santiago morales,0,0,,,,
santiago quiros|2003,santiago quiros,2003,ar ARG,,,,
santiago rodriguez|1997,santiago rodriguez,1997,ar ARG,,,,
santiago salle|2004,santiago salle,2004,ar ARG,,,,
santiago segovia|2007,santiago segovia,2007,ar ARG,,,,
santiago simon|2002,santiago simon,2002,ar ARG,,,,
santiago solari|1998,santiago solari,1998,ar ARG,,,,
santiago sosa|2005,santiago sosa,2005,ar ARG,,,,
santiago toloza|2002,santiago toloza,2002,ar ARG,,,,
