name,Pos,Squad,Age,dob,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
alexis canelo,"FW,MF",Independiente,31,1992,3.2,1,0,0.4,0.2,4,3,70,105,66.67,7,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,alexis canelo,1992,alexis canelo|1992,249789.0,350000.0,2025-10-17,ar ARG,100.0,alexis canelo|1992
alexis cuello,FW,San Lorenzo,23,2000,19.8,4,0,4.3,0.9,41,16,236,394,59.9,32,25,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,alexis cuello,2000,alexis cuello|2000,636783.0,1800000.0,2025-10-17,ar ARG,100.0,alexis cuello|2000
alexis dominguez,"FW,MF",Barracas Central,27,1996,8.3,1,2,1.1,0.4,11,2,111,180,61.67,5,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,alexis dominguez,1996,alexis dominguez|1996,,,,ar ARG,,alexis dominguez|1996
alexis maldonado,DF,Banfield,26,1997,10.6,0,0,0.1,0.1,1,0,252,347,72.62,15,10,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,alexis maldonado,1997,alexis maldonado|1997,444100.0,700000.0,2025-10-17,ar ARG,100.0,alexis maldonado|1997
alexis manyoma,"FW,MF",Estudiantes–LP,21,2003,11.1,3,6,2.5,3.0,18,7,312,420,74.29,16,6,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,alexis manyoma,2003,alexis manyoma|2003,,,,co COL,,alexis manyoma|2003
alexis segovia,"MF,FW",Cen. Córdoba–SdE,19,2004,6.1,0,1,0.2,0.7,8,2,152,192,79.17,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,alexis segovia,2004,alexis segovia|2004,1013913.0,300000.0,2025-10-17,ar ARG,100.0,alexis segovia|2004
alexis soto,DF,Defensa y Just,30,1993,16.6,0,2,0.6,2.4,12,3,677,935,72.41,35,22,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,alexis soto,1993,alexis soto|1993,409272.0,1700000.0,2025-10-17,ar ARG,100.0,alexis soto|1993
alvaro dionisio,DF,Ind. Rivadavia,25,1998,0.7,0,0,0.4,0.0,2,1,22,26,84.62,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alvaro dionisio,1998,alvaro dionisio|1998,,,,ar ARG,,alvaro dionisio|1998
alvaro montoro,"MF,FW",Vélez Sarsfield,16,2007,0.9,0,0,0.0,0.0,0,0,29,42,69.05,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,16.0,alvaro montoro,2007,alvaro montoro|2007,292985.0,1500000.0,2025-10-17,ar ARG,92.85714285714286,alvaro montoro|2007
andres berizovsky,DF,Defensa y Just,19,2004,0.6,0,0,0.0,0.0,0,0,16,18,88.89,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,andres berizovsky,2004,andres berizovsky|2004,,,,ar ARG,,andres berizovsky|2004
andres roa,FW,Huracán,30,1993,0.2,0,0,0.0,0.0,0,0,2,4,50.0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,andres roa,1993,andres roa|1993,,,,co COL,,andres roa|1993
andres vombergar,"FW,MF",San Lorenzo,29,1994,7.0,1,1,1.7,0.5,15,2,98,169,57.99,5,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,andres vombergar,1994,andres vombergar|1994,486926.0,3000000.0,2025-10-17,si SVN,100.0,andres vombergar|1994
angelo marchese,DF,Tigre,19,2004,4.2,0,0,0.0,0.0,2,0,166,226,73.45,10,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,angelo marchese,2004,angelo marchese|2004,1264276.0,75000.0,2025-10-17,ar ARG,100.0,angelo marchese|2004
angelo martino,DF,Newell's OB,25,1998,18.2,0,1,0.5,0.7,19,6,576,849,67.84,38,26,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,angelo martino,1998,angelo martino|1998,,,,ar ARG,,angelo martino|1998
anibal leguizamon,DF,Belgrano,32,1992,13.6,1,0,0.3,0.2,7,1,371,486,76.34,22,12,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,anibal leguizamon,1992,anibal leguizamon|1992,610333.0,275000.0,2025-10-17,ar ARG,100.0,anibal leguizamon|1992
antonio napolitano,"DF,MF",Ind. Rivadavia,24,1999,1.3,0,1,0.0,0.2,0,0,33,51,64.71,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,antonio napolitano,1999,antonio napolitano|1999,,,,ar ARG,,antonio napolitano|1999
antony alonso,FW,Deportivo Riestra,25,1998,7.8,3,0,1.9,0.7,10,5,74,151,49.01,11,9,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,antony alonso,1998,antony alonso|1998,844800.0,450000.0,2025-10-17,ar ARG,100.0,antony alonso|1998
ariel gamarra,MF,Arg Juniors,20,2003,10.7,0,2,0.2,0.9,6,1,405,512,79.1,30,21,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ariel gamarra,2003,ariel gamarra|2003,,,,py PAR,,ariel gamarra|2003
ariel rojas,MF,Belgrano,38,1986,0.2,0,0,0.0,0.0,0,0,2,5,40.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,38.0,ariel rojas,1986,ariel rojas|1986,,,,ar ARG,,ariel rojas|1986
armando mendez,DF,Newell's OB,27,1996,15.9,1,1,2.0,1.7,9,2,370,545,67.89,37,30,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,armando mendez,1996,armando mendez|1996,605648.0,1000000.0,2025-10-17,uy URU,100.0,armando mendez|1996
augusto lotti,"FW,MF",Lanús,27,1996,2.1,0,0,0.2,0.2,2,0,26,47,55.32,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,augusto lotti,1996,augusto lotti|1996,406296.0,800000.0,2025-10-17,it ITA,100.0,augusto lotti|1996
augusto max,MF,Gimnasia–LP,31,1992,6.2,0,0,0.2,0.3,4,2,191,223,85.65,33,23,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,augusto max,1992,augusto max|1992,149770.0,125000.0,2025-10-17,ar ARG,100.0,augusto max|1992
augusto schott,DF,Newell's OB,24,2000,11.1,0,0,1.1,0.4,12,6,357,513,69.59,20,13,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,augusto schott,2000,augusto schott|2000,670566.0,350000.0,2025-10-17,ar ARG,100.0,augusto schott|2000
augusto solari,"FW,MF",Rosario Central,32,1992,3.7,0,0,0.4,0.1,3,1,72,107,67.29,11,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,augusto solari,1992,augusto solari|1992,282694.0,250000.0,2025-10-17,ar ARG,100.0,augusto solari|1992
axel atum,"FW,MF",Estudiantes–LP,18,2006,0.1,0,0,0.0,0.0,0,0,2,3,66.67,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,axel atum,2006,axel atum|2006,,,,ar ARG,,axel atum|2006
axel werner,GK,Rosario Central,27,1996,3.0,0,0,0.0,0.0,0,0,52,91,57.14,0,0,0,0,3.0,1.0,16.0,13.0,81.3,1.0,33.3,1.0,0.0,0.0,1.0,4.6,0.3,1.6,0.54,18.0,56.0,32.1,71.0,19.0,56.3,42.4,0.0,0.0,2.0,0.67,12.9,True,27.0,axel werner,1996,axel werner|1996,236734.0,375000.0,2025-10-17,ar ARG,100.0,axel werner|1996
ayrton portillo,"MF,DF",Defensa y Just,23,2000,3.8,0,0,0.2,1.1,4,1,66,104,63.46,5,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,ayrton portillo,2000,ayrton portillo|2000,,,,ar ARG,,ayrton portillo|2000
baltasar rodriguez,"MF,FW",Racing Club,20,2003,9.6,0,1,1.4,1.3,19,6,320,416,76.92,33,18,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,baltasar rodriguez,2003,baltasar rodriguez|2003,,,,ar ARG,,baltasar rodriguez|2003
bautista barros schelotto,DF,Platense,24,2000,15.3,0,3,0.1,1.2,3,0,289,503,57.46,42,30,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,bautista barros schelotto,2000,bautista barros schelotto|2000,852761.0,225000.0,2025-10-17,ar ARG,100.0,bautista barros schelotto|2000
bautista kociubinski,"MF,DF",Estudiantes–LP,22,2001,3.7,0,0,0.1,0.4,4,0,176,222,79.28,9,6,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,bautista kociubinski,2001,bautista kociubinski|2001,,,,ar ARG,,bautista kociubinski|2001
benjamin bosch,"DF,FW",Vélez Sarsfield,18,2005,0.0,0,0,0.0,0.0,0,0,5,5,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,benjamin bosch,2005,benjamin bosch|2005,,,,ar ARG,,benjamin bosch|2005
benjamin dominguez,FW,Gimnasia–LP,20,2003,10.7,2,1,2.1,1.9,28,14,182,265,68.68,10,7,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,benjamin dominguez,2003,benjamin dominguez|2003,,,,ar ARG,,benjamin dominguez|2003
benjamin schamine,MF,Defensa y Just,20,2003,5.4,2,0,1.3,0.2,8,3,161,203,79.31,13,7,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,benjamin schamine,2003,benjamin schamine|2003,1141726.0,350000.0,2025-10-17,ar ARG,100.0,benjamin schamine|2003
bernardo benitez,"MF,FW",Tigre,21,2002,4.0,0,2,0.6,2.1,6,3,123,179,68.72,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,bernardo benitez,2002,bernardo benitez|2002,,,,py PAR,,bernardo benitez|2002
blas armoa,"FW,MF",Tigre,23,2000,15.2,3,1,3.8,2.1,27,11,186,266,69.92,12,9,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,blas armoa,2000,blas armoa|2000,491603.0,700000.0,2025-10-17,py PAR,100.0,blas armoa|2000
blas riveros,"DF,FW",Talleres,25,1998,8.8,0,2,0.3,1.0,9,3,293,378,77.51,8,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,blas riveros,1998,blas riveros|1998,,,,py PAR,,blas riveros|1998
