player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
emanuel aguilera|1989,emanuel aguilera,1989,ar ARG,123015.0,200000.0,2025-10-17,100.0
emanuel coronel|1997,emanuel coronel,1997,ar ARG,565194.0,2700000.0,2025-10-17,100.0
emanuel dall'aglio|2005,emanuel dall'aglio,2005,ar ARG,,,,
emanuel insua|1991,emanuel insua,1991,ar ARG,,,,
emanuel mammana|1996,emanuel mammana,1996,ar ARG,275512.0,2800000.0,2025-10-17,100.0
emanuel rojas|2005,emanuel rojas,2005,ar ARG,,,,
emiliano giannunzio|1982,emiliano giannunzio,1982,ar ARG,,,,
emiliano mendez|1989,emiliano mendez,1989,ar ARG,,,,
emiliano saliadarre|2002,emiliano saliadarre,2002,ar ARG,,,,
emiliano viveros|2002,emiliano viveros,2002,ar ARG,907313.0,500000.0,2025-10-17,100.0
enrique bologna|1982,enrique bologna,1982,ar ARG,30753.0,25000.0,2025-10-17,100.0
enzo briones|2004,enzo briones,2004,ar ARG,,,,
enzo copetti|1996,enzo copetti,1996,ar ARG,504254.0,3000000.0,2025-10-17,100.0
enzo diaz|1995,enzo diaz,1995,ar ARG,,,,
enzo martin roldan|2000,enzo martin roldan,2000,ar ARG,,,,
enzo martinez|1998,enzo martinez,1998,uy URU,578737.0,600000.0,2025-10-17,100.0
enzo perez|1986,enzo perez,1986,ar ARG,56066.0,250000.0,2025-10-17,100.0
eric meza|1999,eric meza,1999,ar ARG,830857.0,2000000.0,2025-10-17,100.0
eric ramirez|1998,eric ramirez,1998,ve VEN,364945.0,1500000.0,2025-10-17,100.0
eric remedi|1995,eric remedi,1995,ar ARG,,,,
erik godoy|1993,erik godoy,1993,ar ARG,225479.0,250000.0,2025-10-17,100.0
eros mancuso|1999,eros mancuso,1999,ar ARG,,,,
esequiel barco|1999,esequiel barco,1999,ar ARG,,,,
esteban burgos|1992,esteban burgos,1992,ar ARG,,,,
esteban fernandez|2002,esteban fernandez,2002,ar ARG,,,,
esteban lucero|2005,esteban lucero,2005,ar ARG,,,,
esteban rolon|1995,esteban rolon,1995,ar ARG,,,,
ever banega|1988,ever banega,1988,ar ARG,12249.0,750000.0,2025-10-17,100.0
exequiel zeballos|2002,exequiel zeballos,2002,ar ARG,661132.0,4500000.0,2025-10-17,100.0
ezequiel bonifacio|1994,ezequiel bonifacio,1994,ar ARG,334224.0,100000.0,2025-10-17,100.0
ezequiel canete|1999,ezequiel canete,1999,ar ARG,746185.0,200000.0,2025-10-17,100.0
ezequiel cannavo|2002,ezequiel cannavo,2002,ar ARG,844791.0,2000000.0,2025-10-17,100.0
ezequiel centurion|1997,ezequiel centurion,1997,ar ARG,626917.0,2000000.0,2025-10-17,100.0
ezequiel cerutti|1992,ezequiel cerutti,1992,ar ARG,267882.0,200000.0,2025-10-17,100.0
ezequiel fernandez|2002,ezequiel fernandez,2002,ar ARG,,,,
ezequiel forclaz|2003,ezequiel forclaz,2003,ar ARG,,,,
ezequiel ham|1994,ezequiel ham,1994,sy SYR,,,,
ezequiel munoz|1990,ezequiel munoz,1990,ar ARG,75127.0,75000.0,2025-10-17,100.0
ezequiel naya|2001,ezequiel naya,2001,ar ARG,,,,
fabio alvarez|1993,fabio alvarez,1993,ar ARG,,,,
fabio pereyra|1990,fabio pereyra,1990,ar ARG,610248.0,175000.0,2025-10-17,100.0
fabricio bustos|1996,fabricio bustos,1996,ar ARG,275381.0,3800000.0,2025-10-17,100.0
fabricio corbalan|2003,fabricio corbalan,2003,ar ARG,1283981.0,100000.0,2025-10-17,100.0
fabricio iacovich|2002,fabricio iacovich,2002,ar ARG,1050051.0,200000.0,2025-10-17,100.0
fabricio lopez|2002,fabricio lopez,2002,ar ARG,1123346.0,50000.0,2025-10-17,100.0
fabricio oviedo|2004,fabricio oviedo,2004,ar ARG,1022385.0,400000.0,2025-10-17,100.0
fabricio perez|2005,fabricio perez,2005,ar ARG,1298374.0,100000.0,2025-10-17,100.0
fabricio tirado|2004,fabricio tirado,2004,ar ARG,,,,
fabrizio sartori|2002,fabrizio sartori,2002,ar ARG,978970.0,225000.0,2025-10-17,100.0
facundo altamira|,facundo altamira,0,0,923459.0,1000000.0,2025-10-17,100.0
facundo altamirano|1996,facundo altamirano,1996,ar ARG,362358.0,800000.0,2025-10-17,100.0
facundo ardiles|1998,facundo ardiles,1998,ar ARG,,,,
facundo baez|2004,facundo baez,2004,ar ARG,,,,
facundo bruera|1998,facundo bruera,1998,ar ARG,538880.0,1800000.0,2025-10-17,100.0
facundo butti|2000,facundo butti,2000,ar ARG,,,,
facundo cambeses|1997,facundo cambeses,1997,ar ARG,435001.0,1700000.0,2025-10-17,100.0
facundo colidio|2000,facundo colidio,2000,ar ARG,491705.0,6000000.0,2025-10-17,100.0
facundo echevarria|2002,facundo echevarria,2002,ar ARG,,,,
facundo ferreyra|1991,facundo ferreyra,1991,ar ARG,,,,
facundo kruger|2000,facundo kruger,2000,ar ARG,755666.0,75000.0,2025-10-17,100.0
facundo lencioni|2001,facundo lencioni,2001,ar ARG,,,,
facundo mallo|1995,facundo mallo,1995,uy URU,347193.0,1700000.0,2025-10-17,100.0
facundo mater|1998,facundo mater,1998,sy SYR,538774.0,1200000.0,2025-10-17,100.0
facundo mura|1999,facundo mura,1999,ar ARG,642759.0,1500000.0,2025-10-17,100.0
facundo quignon|1993,facundo quignon,1993,ar ARG,131218.0,500000.0,2025-10-17,100.0
facundo rodriguez|2000,facundo rodriguez,2000,ar ARG,663491.0,800000.0,2025-10-17,100.0
facundo roncaglia|1987,facundo roncaglia,1987,ar ARG,61546.0,25000.0,2025-10-17,100.0
facundo russo|2000,facundo russo,2000,ar ARG,,,,
facundo sanguinetti|2001,facundo sanguinetti,2001,ar ARG,870032.0,2000000.0,2025-10-17,100.0
